anon_id,age,nationality,task_id,user_preference,answers
P009,,Indian,1,original,"[3,1,4,1,4,2,5,1,3,1]"
P009,,Indian,2,original,"[4,2,3,2,2,3,2,2,3,2]"
P009,,Indian,2,original,"[4,2,3,2,2,3,2,2,3,2]"
P009,,Indian,2,optimized,"[4,2,3,2,2,3,2,2,3,2]"
P009,,Indian,2,original,"[4,2,3,2,2,3,2,2,3,2]"
P009,,Indian,3,original,"[4,2,3,3,3,2,3,2,3,2]"
P009,,Indian,4,optimized,"[3,3,4,3,3,4,2,2,2,5]"
P009,,Indian,4,optimized,"[3,3,4,3,3,4,2,2,2,5]"
P004,22,Pakistan,1,original,"[5,1,5,1,5,1,4,3,5,2]"
P004,22,Pakistan,1,original,"[5,1,5,1,5,1,4,3,5,2]"
P004,22,Pakistan,1,original,"[5,1,5,1,5,1,4,3,5,2]"
P004,22,Pakistan,1,original,"[5,1,5,1,5,1,4,3,5,2]"
P004,22,Pakistan,2,original,"[1,3,3,5,3,1,3,3,5,1]"
P004,22,Pakistan,2,original,"[1,3,3,5,3,1,3,3,5,1]"
P004,22,Pakistan,3,original,"[1,4,4,1,1,2,3,3,4,2]"
P004,22,Pakistan,3,original,"[1,4,4,1,1,2,3,3,4,2]"
P004,22,Pakistan,4,optimized,"[5,3,5,1,3,1,3,4,4,2]"
P004,22,Pakistan,4,optimized,"[5,3,5,1,3,1,3,4,4,2]"
P016,27,Pakistan,1,original,"[3,2,4,2,3,2,4,2,4,2]"
P016,27,Pakistan,2,original,"[4,4,3,3,2,3,3,3,2,3]"
P016,27,Pakistan,3,original,"[4,2,4,1,3,2,4,2,4,3]"
P016,27,Pakistan,4,original,"[3,3,3,3,2,1,2,4,3,3]"
P005,27,Indian,1,original,"[3,3,1,2,2,2,2,3,2,2]"
P005,27,Indian,2,original,"[2,2,1,3,2,2,3,2,2,2]"
P005,27,Indian,3,optimized,"[3,4,2,2,2,3,3,2,3,2]"
P005,27,Indian,4,optimized,"[2,2,1,2,2,4,3,3,2,3]"
