anon_id,id,timestamp,task_id,answers
P020,34,2025-08-21 00:18:50,1,"[1,1,1,1,1,1,1,1,1,1]"
P020,35,2025-08-21 00:19:44,2,"[1,1,1,1,1,1,1,1,1,1]"
P020,36,2025-08-21 00:20:36,3,"[1,1,1,1,1,1,1,1,1,1]"
P020,37,2025-08-21 00:21:27,4,"[1,1,1,1,1,1,1,1,1,1]"
P009,38,2025-08-21 08:48:36,1,"[3,1,4,1,4,2,5,1,3,1]"
P009,39,2025-08-21 08:54:08,2,"[4,2,3,2,2,3,2,2,3,2]"
P009,40,2025-08-21 09:01:25,3,"[4,2,3,3,3,2,3,2,3,2]"
P009,41,2025-08-21 09:07:19,4,"[3,3,4,3,3,4,2,2,2,5]"
P009,42,2025-08-21 09:17:31,4,"[3,3,4,3,3,4,2,2,2,5]"
P004,43,2025-08-21 13:39:40,1,"[5,1,5,1,5,1,4,3,5,2]"
P004,44,2025-08-21 13:46:47,2,"[1,3,3,5,3,1,3,3,5,1]"
P004,45,2025-08-21 13:49:20,3,"[1,4,4,1,1,2,3,3,4,2]"
P004,46,2025-08-21 13:51:23,4,"[5,3,5,1,3,1,3,4,4,2]"
P016,47,2025-08-21 14:00:43,1,"[3,2,4,2,3,2,4,2,4,2]"
P016,48,2025-08-21 14:03:35,2,"[4,4,3,3,2,3,3,3,2,3]"
P016,49,2025-08-21 14:06:57,3,"[4,2,4,1,3,2,4,2,4,3]"
P016,50,2025-08-21 14:09:25,4,"[3,3,3,3,2,1,2,4,3,3]"
P005,51,2025-08-21 14:51:58,1,"[3,3,1,2,2,2,2,3,2,2]"
P005,52,2025-08-21 14:53:45,2,"[2,2,1,3,2,2,3,2,2,2]"
P005,53,2025-08-21 14:55:55,3,"[3,4,2,2,2,3,3,2,3,2]"
P005,54,2025-08-21 14:57:44,4,"[2,2,1,2,2,4,3,3,2,3]"
P013,55,2025-08-21 15:20:43,1,"[4,3,4,2,3,4,4,3,4,3]"
P013,56,2025-08-21 15:23:57,2,"[4,2,4,4,1,3,1,3,4,4]"
P013,57,2025-08-21 15:26:02,3,"[4,2,4,2,3,1,4,2,4,3]"
P013,58,2025-08-21 15:28:25,4,"[3,2,5,2,3,2,3,1,3,2]"
P017,59,2025-08-21 16:26:57,1,"[4,2,5,1,4,2,4,1,4,2]"
P017,60,2025-08-21 16:28:25,2,"[4,1,4,1,4,2,5,1,5,1]"
P017,61,2025-08-21 16:30:12,3,"[4,1,4,1,4,2,4,1,3,2]"
P017,62,2025-08-21 16:30:12,3,"[4,1,4,1,4,2,4,1,3,2]"
P017,63,2025-08-21 16:32:09,4,"[4,1,4,1,2,2,3,1,4,2]"
P017,64,2025-08-21 16:37:26,4,"[4,1,4,1,2,2,3,1,4,2]"
P015,65,2025-08-21 19:30:38,1,"[1,3,3,3,1,3,1,1,1,4]"
P015,66,2025-08-21 19:34:26,2,"[1,3,3,5,1,5,1,1,1,3]"
P015,67,2025-08-21 19:36:23,3,"[1,2,3,1,2,2,1,1,3,1]"
P015,68,2025-08-21 19:37:25,4,"[1,1,1,5,1,1,1,1,1,5]"
P015,69,2025-08-21 19:41:29,4,"[1,1,1,5,1,1,1,1,1,5]"
P010,70,2025-08-22 10:11:52,1,"[2,4,3,1,3,3,4,1,1,1]"
P010,71,2025-08-22 10:13:58,2,"[3,1,4,1,3,2,5,1,4,2]"
P010,72,2025-08-22 10:16:36,3,"[4,2,4,1,3,1,1,1,4,1]"
P010,73,2025-08-22 10:18:30,4,"[4,1,4,1,4,1,4,1,4,1]"
P006,74,2025-08-22 13:23:39,1,"[3,2,5,1,3,1,4,3,4,4]"
P006,75,2025-08-22 13:26:05,2,"[5,2,4,1,4,1,3,4,2,4]"
P006,76,2025-08-22 13:27:46,3,"[4,2,4,2,4,3,4,3,5,5]"
P006,77,2025-08-22 13:32:16,4,"[3,3,4,1,3,1,3,4,3,1]"
P006,78,2025-08-22 13:34:57,4,"[3,3,4,1,3,1,3,4,3,1]"
